text,cefr,l1,corpus,item_id
Hi! This is the menu: drinks: juice and water Startex: vegetables Main course: rice and chicken dessert: ice cream and chess,A1,Portuguese,EFCAMDAT,47530
"bello, my name's Hilda, I'm married and l have one daughter, son and grandson. l decided to learn English because my colleagues speak this language. We will meet next month and l want to communicate better with them.",A1,Spanish,EFCAMDAT,296942
"bello, My name is Leandro Fritze, i'm Brazilian and like very language english, but only i'm learning yet. the course is great!",A1,Portuguese,EFCAMDAT,335809
"Hi, My pathan is in and I'm selling clothes from the thrift store. that blouse costs $ 12, t-shirt is $ 9.99 and skirt is $25.99 eye",A1,Portuguese,EFCAMDAT,354705
"Name: Murillo Age: 28 birthday: 6 July like doing: swimming and running Lives in: So Paulo, Brazil favorite Season: spring Color: dark blue animal: dog Time: evening Day: Saturday Number: 10",A1,Portuguese,EFCAMDAT,362789
"Welcome friends. There are a lot of places funny in Porto Segura. There are beautiful beach on Av. Beira Mar, the best beach is next to Coro Vermelha Hotel. The Passarela do cool is between the Brazil Bank and the Bala.",A1,Portuguese,EFCAMDAT,366414
"Dear Ms Thomas! In office are thirty pens, thirteen computers, fourteen chairs and five notebooks. Also, there are one blue desk, two green keyboards and four yellow tables. Dear boss, see you a monday. eye.",A1,Portuguese,EFCAMDAT,408991
Dear Jack Welcome to My house! My home address is NO.#### defang RD.Changchun City.There is a bank on The JieFang Road near my house. Next to the bank is a university. There is a library opposite the university. There are many good restaurants on The ronggeng Road. There is a big supermarket on The Chongqing Road. Mike,A1,Mandarin,EFCAMDAT,440071
"Hi: I''m Bettina. I live in Guadalajara, Mexico I from Guadalajara, Mexico I''m four three I like listening music, reading, the movies. Nice to meet you goodbye Bettina",A1,Spanish,EFCAMDAT,497084
"Hi, my name's Marcelo Graciolli - I have 36 year and live in Brazil. What's your name teacher? How are you teacher? Well goodbye",A1,Portuguese,EFCAMDAT,563207
"Hi, my friend. How are you? In my country a lot of people love to play football. Most people too love watching football matches on television. Many people like playing volley ball. Some people like to play basketball. A few people like to play baseball.",A1,Portuguese,EFCAMDAT,620204
"My name's sheng, i'm twenty nine years old, i'm married. I'm from China, i live in France, in the city of bordeaux. My husband is french. I'm developer in a company who creates the web sites.%%",A1,French,EFCAMDAT,648403
"option: 1 (the boss's willing) bottom Line: $ 10,000.00 (not more than this price due her budget) give band Compromise: good, drink",A1,Portuguese,EFCAMDAT,685929
"My boss is very intelligent and hardworking. He is always busy, but he is very friendly with their employees. He has brown eyes, blond hair and has a big family.",A1,Portuguese,EFCAMDAT,752889
"I live at Rio de Janeiro is big and busy, very beaches is beautiful, and the city has a lot of great buildings and restaurants. Rio de Janeiro is a great city.",A1,Portuguese,EFCAMDAT,886938
My neighborhood is very busy. There's a train station near here. There a lot of small shops and simple restaurants. The shops is across the street from train station and the restaurants is between the shops and the bus stop. Unfortunately I don't have a favorite place here and always have to go to other places.,A1,Portuguese,EFCAMDAT,963831
"The city of So Paulo is a lot noisy, there are people busy, parks, shops, buildings. So Paulo is very big and beautiful!",A1,Portuguese,EFCAMDAT,980295
"I live with Omar. Omar is tall, He is intelligent and very friendly, They eyes are brown, he has brown hair. Omar is funny, he always smile.",A1,Spanish,EFCAMDAT,1042800
"I recommend the corella Restaurant. Their food is great and they have a lots of options to choose. I love their salads, all vegetables are really fresh and crunch. The place is nice too, next to the museum.",A1,Portuguese,EFCAMDAT,1064220
I'm Adam. I live in Istanbul. I get up at 06.30 in the morning. I usually take a metro to work morning. I get to work at 8 a.m. I check servers. I have a lot of problems. I have lunch at noon. I go home at 6 p.m. in the evening.,A1,Turkish,EFCAMDAT,1089131
"Hi, I'm planning my birthday party, in August, on Wednesday 15th at 5.30 p.m. it will be in my house, my jumba teacher is going to come and she is going to teach us how to dance salsa, rock, bahasa etc. it going to be very funny, I'm going to make different salads and Italian food, my sister is going to make cake and pies. I hope you can come. Adriana",A2,Spanish,EFCAMDAT,8161
"Hi granny. How are you? Look at my photos, when I was on vacations. I send to you three pictures. The first is of my friend Lisa, she is wearing red trousers and a white top. She is looking the sea. She looks happy enjoying the weather. The other picture is her brother. He has long, blonde hair. He is wearing sunglasses and dark shirt. He has a big nose. He is walking in a beautiful park. The last one is a picture too in a ground, in this place we are resting after one walking around. We are happy and enjoying one fresh day. I hope you'll enjoy this pictures. I'll see you soon. Ade.",A2,Spanish,EFCAMDAT,17032
The robbery happened today in the morning. I went take a walk in the park and when came back home I saw the window broken. Someone broke into the door and took all my jewelry and some money that I had hidden in my wardrobe. I suppose was someone who knows my routine and have been in my apartment before. The thief stole almost three thousand dollars. I called the police afterward. thanks for help me.,A2,Portuguese,EFCAMDAT,102463
"I driver of bus. I work in airport. I transport people and occasionally perform other tasks. I like my job, because I help people. sometimes I tired because there is little time for a break.",A2,Russian,EFCAMDAT,160385
"bello, mom and dad! I am in California now and it's going to rain all afternoon. I am in a hotel and I won't go out today. I didn't get my raincoat. Tomorrow, the weather is going to be very hot and sunny. I'm going to go to the beach with my friends. I'm going to take a lot of pictures! eye! Rose.",A2,Portuguese,EFCAMDAT,172399
"Dear John, these are the things I need to do for my beloved pets and houseplants every day. I walk the dogs three times a day for an hour, at 7:30 a.m., at 3 p.m. and at 10 p.m.. I feed them at 8:30 a.m. and at 9 p.m. I feed my goldfish twice a day, in the morning and in the night. twice a week I water the houseplants and I take out the trash. I clean the house on monday and friday. I hope you will be happy to help me. See you soon, Maria Teresa",A2,Italian,EFCAMDAT,173989
"Hi Jeff and Amy. The monkeys are very boring. I take this picture because my mom love them but I don't like monkeys. They're so noisy and all burgle our foods, don't matter what food is. The monkeys are not friendly 'cause this. In my safari I see so much animals. The lions are very beautiful and bold. The snakes as very dangerous as the hippopotamus, but I love her.",A2,Portuguese,EFCAMDAT,184309
"Hi,paul It is regret that I missed your wedding,because that day I really feel bad. I have a cold ,and have a runny nose.also I can't talk ,because my throat is broken. The doctor said I should stay in home and drink plenty of water. I think I will be better in a few days Best wish Candy",A2,Mandarin,EFCAMDAT,185313
"Hi dear! Today in California is going to rain all afternoon. I want to go to the museum and after that visit the restaurant. Tomorrow, I going to go to the beach, because the wether will be warm. In the evening I going to go to the bar. Hope that will be fun. See you soon! Geb.",A2,Russian,EFCAMDAT,225768
"Hi Friend, Good news. Unfortunately I''ll be busy on Tuesday at the lunch time. I''m going to meet my boss for lunch on tuesday, but I''ll be free in the evening. Would you like to meet for dinner? If so, I would like to invite you to know the Marola Restaurant. It''s in the front of the sea and certainly it won''t be hot. It''s always windy at night. It''ll be great.",A2,Portuguese,EFCAMDAT,405378
"bello my friend!!! I invite you to my party next saturday in my home at 8 p.m. The party will be very fun, there will be lots of beer and food, dance music and many friends. You can bring your Cas of favorite music too. So, Do you want to come to my party? Julio :)",A2,Spanish,EFCAMDAT,421914
"Mon : I'm going to visit USA on August 18th. That's my dream which country I want to go sightseeing, I will also go to the music festival on August 20th, the price for ticket is US$500, I can afford it. I will bring my guitar with me to the festival but i hope i won't get lost in this trip. I really want to hear the pop music, wish me have a good luck mom.",A2,Mandarin,EFCAMDAT,431073
"I am planning a party on the No.5 yellow street in may on thursday 6th at 1 pm .am sending inviting on e-space to 30 of my friends ,I hope that they are all coming . I am prepared some food chicken and sandwiches,some drink water and wine ,some music dance music. I hope everyone will come .",A2,Mandarin,EFCAMDAT,475762
"To: xxx@the.gov.br; From: xxx@the.pa.gov.br subject: summary of meeting. Dear team, Here''s a summary of our meeting: 1- Rodolfo asked what are the courses we will do to improve our job; 2- Adali said that will check, but all of the team will do the courses. 3- Mercia asked what the books that we''ll buy? 4- Gisele said that will do a price research. Action item: Renata said that we need to realize weekly meetings to improve our job. skanks. Gisele.",A2,Portuguese,EFCAMDAT,570740
"January, 24 Hi mom! Today I visited Natal, it's a wonderful city. There is a lot of beautiful beach. I loved it. The weather is only sunny. The people are very courteous. Every night we eat out, the food is not expensive, so I can save money. Love, Nara.",A2,Portuguese,EFCAMDAT,636315
"The girl in the First picture is Lisa, she is wearing a white top and pink trousers and has a brown, straight hair. The Man in the Second picture is Carl, he is wearing a black shirt and black sunglasses and has a blond, straight hair. The couple in the third picture is Shing and Ling, both are Japanese. The girl is wearing a brown top and jeans and has a short,brown,straight hair.%% The man is wearing a clothing cold and has a short,brown,curly hair",A2,Portuguese,EFCAMDAT,636640
"Dear Dillon, thanks for email. I like scuba diving is interesting and I think fun. I don' like football and badminton is too boring. I like playing the guitar, but I don't know to play, but I like playing drums is very fun. thanks my friend. Karina",A2,Portuguese,EFCAMDAT,703307
"title: So Young author: You in(China) type of story: Young Love Story Setting: 2000s/Shanghai(China) Main characters: Wei sheng, king Lin, Xiaozheng, sheng Plot: complex love story about the three people You in wrote a very good book called,So Young."" It's a complex love story. They had a complex relation in their university life and career. finally the story tell us that is full helpless in our life, we should cherish life, don't leave regret.%% So young is mean to our youth that is fading a way.",A2,Mandarin,EFCAMDAT,776003
"I absolutely love traveling.I've traveler 11 countries.I've seen Anne Frank's house and iguazu Falls.I've camped in Yosemite National Park,walked across the Tower Bridge,bought fancy clothes and taken an elephant tour. I haven't been to Africa yet,but I really want to go .My trip last month to Thailand was difficult.The flight took 17 hours.",A2,Mandarin,EFCAMDAT,875979
"I live in quiz de For, Brazil. I'm writing about the beautiful plants, animals and mountains around my place. The birds are wonderful, the plants are different and my state, Minos Gervais, has some caves and the tallest mountains in Brazil.",A2,Portuguese,EFCAMDAT,943069
"Dear Max, I really liked to be with you and our friends next weekend and I'm flattered you think to me , you're a nice person with a lot of qualities, but unfortunately I am going to work in Europe tomorrow for six months. I can't begin a love story now, the separation will break up immediately our romance . It'll be too hard for you and me . I think you would stay good friends in the future . sorry, you must forget me. Let's go with your friends. See you later I kiss you poland",B1,French,EFCAMDAT,4086
